Label,Username,URI
A. Bernand,,http://viaf.org/viaf/19689588
A. Bursche,,http://viaf.org/viaf/46867566
A.G. Poulter,,http://viaf.org/viaf/79137985
A. Hausleiter,,http://viaf.org/viaf/74028066
A.M. Small,,http://viaf.org/viaf/76387372
A.S. Esmonde Cleary,,http://viaf.org/viaf/92609475
A.S. Esmonde-Cleary,,http://viaf.org/viaf/92609475
B. Isaac,,http://viaf.org/viaf/73868693/
Brian Z. Lund,lund-brian-z,
C. Foss,,http://viaf.org/viaf/39409558
C. Haselgrove,,http://viaf.org/viaf/93262206
C.M. Wells,,http://viaf.org/viaf/57623743
Classical Atlas Project Office,classical-atlas-project-office,
DARMC,,http://darmc.harvard.edu
D.F. Graf,,http://viaf.org/viaf/27195105
D.J. Mattingly,,http://viaf.org/viaf/89088748
D. Rupp,,http://viaf.org/viaf/135024
D.T. Potts,,http://viaf.org/viaf/17238976
David Braund,,http://viaf.org/viaf/108993388
E. Bertrand,bertrand-e,
E.J. Keall,,http://viaf.org/viaf/104172537
E.M. Meyers,,http://viaf.org/viaf/22153097
E.N. Borza,,http://viaf.org/viaf/12324395
E.W.B. Fentress,,http://viaf.org/viaf/56622759
E.W. Haley,,http://viaf.org/viaf/2604239
F.H. Stanley,,http://viaf.org/viaf/13810037
F. Hiebert,,http://viaf.org/viaf/19956691
F.T. Hiebert,,http://viaf.org/viaf/19956691
G.D. Woolf,,http://viaf.org/viaf/29622273
G. Reger,,http://viaf.org/viaf/5046666
G. Wagner,wagner-g,
H. Bender,bender-h,
H.S. Sivan,,http://viaf.org/viaf/113541735
I.E.M. Edlund Berry,,http://viaf.org/viaf/71459378
J. Bennet,,http://viaf.org/viaf/119316394
J.F. Drinkwater,,http://viaf.org/viaf/94888878
J. Fossey,fossey-j,
J.H.F. Bloemers,,http://viaf.org/viaf/71839743
J.J. Wilkes,,http://viaf.org/viaf/261890108
J. Keenan,keenan-j,
J. Kunow,,http://viaf.org/viaf/19802204
J. McK. Camp II,,http://viaf.org/viaf/59102736
J. Morin,morin-j,
J.P. Brown,brown-j-p,
J.S. Traill,,http://viaf.org/viaf/109545672
L.F. Pitts,,http://viaf.org/viaf/66514802
L. Quilici,,http://viaf.org/viaf/12320449
S. Quilici Gigli,,http://viaf.org/viaf/46755947
M. Drew Bear,,http://viaf.org/viaf/57871668
M. Euzennat,,http://viaf.org/viaf/61545480
M. Joann McDaniel,,http://viaf.org/viaf/51858528
M. Pearce,,http://viaf.org/viaf/197700520
M. Roaf,,http://viaf.org/viaf/39678158
M. Šašel Kos,,http://viaf.org/viaf/36949186
M.U. Erdosy,erdosy-m-u,
Mary E. Downs,,http://viaf.org/viaf/65713033
N.B. Millet,,http://viaf.org/viaf/93670504
N. Purcell,,http://viaf.org/viaf/24617478
P. Galliou,,http://viaf.org/viaf/36918577
P. Kos,,http://viaf.org/viaf/2500370
P.-L. Gatier,,http://viaf.org/viaf/66492020
P.L. Kohl,,http://viaf.org/viaf/278548397
P.O. Spann,,http://viaf.org/viaf/61569715
P. Tozzi,,http://viaf.org/viaf/7513704
R.B. Hitchner,,http://viaf.org/viaf/19524400
R.C. Knapp,,http://viaf.org/viaf/84714015
R. Häussler,,http://viaf.org/viaf/59869619
R.J.A. Wilson,wilson-r-j-a,
R. Müller Wollermann,,http://viaf.org/viaf/94041687
R. Peretto,,http://viaf.org/viaf/236240316
R.S. Bagnall,,http://viaf.org/viaf/104306181
R. Talbert,,http://viaf.org/viaf/59162760
R.W. Mathisen,,http://viaf.org/viaf/17258746
R. Warner,warner-r,
R. Wenke,,http://viaf.org/viaf/29593223
S.E. Kroll,,http://viaf.org/viaf/71945708
S.E. Sidebotham,,http://viaf.org/viaf/7512162
S.J. Keay,,http://viaf.org/viaf/14791213
S.L. Dyson,,http://viaf.org/viaf/24620920
S. Loseby,,http://viaf.org/viaf/32108909
S.M. Burstein,,http://viaf.org/viaf/34489471
S. Mitchell,,http://viaf.org/viaf/91669326
S.T. Parker,,http://viaf.org/viaf/56641184
St J. Simpson,,http://viaf.org/viaf/52023947
T.B. Mitford,mitford-t-b,
T. Drew Bear,,http://viaf.org/viaf/54156192
T. Sinclair,sinclair-t,
T.W. Potter,,http://viaf.org/viaf/12323175
T. Wilfong,,http://viaf.org/viaf/48822584
W.M. Murray,wmurray,http://viaf.org/viaf/27116874
W.V. Harris,,http://viaf.org/viaf/17244949
